DayofYear,Alaska,Washington,Montana,North Dakota,Minnesota,Wisconsin,Michigan,New York,Vermont,New Hampshire,Maine,Oregon,Idaho,Wyoming,South Dakota,Nebraska,Iowa,Illinois,Indiana,Ohio,Pennsylvania,Connecticut,Rhode Island,Massachusetts,California,Nevada,Utah,Colorado,Kansas,Missouri,Kentucky,West Virginia,Virginia,District Of Columbia,Maryland,Delaware,New Jersey,Arizona,New Mexico,Texas,Oklahoma,Arkansas,Tennessee,Louisiana,Mississippi,Alabama,Florida,Georgia,South Carolina,North Carolina,Puerto Rico,Virgin Islands,Hawaii
173.0,8.0,9.954545454545455,16.428571428571427,-9999.0,19.333333333333332,20.0,42.25,13.0,-9999.0,-9999.0,43.75,10.166666666666666,12.733333333333333,-9999.0,18.666666666666668,20.5,30.25,-9999.0,44.333333333333336,54.666666666666664,34.0,45.0,-9999.0,-9999.0,26.7,14.5,-9999.0,-9999.0,64.0,33.0,44.2,-9999.0,31.0,-9999.0,-9999.0,-9999.0,26.0,-9999.0,38.0,27.6,43.0,-9999.0,40.583333333333336,34.5,35.5,57.5,34.714285714285715,52.785714285714285,41.75,40.8,152.0,-9999.0,19.333333333333332
174.0,7.0,12.318181818181818,19.857142857142858,-9999.0,9.75,13.0,35.0,12.0,35.0,42.0,32.0,11.0,13.333333333333334,-9999.0,29.666666666666668,15.0,15.333333333333334,-9999.0,35.333333333333336,44.666666666666664,41.166666666666664,-9999.0,42.0,50.5,24.857142857142858,15.5,-9999.0,-9999.0,56.0,26.5,33.5,-9999.0,41.0,-9999.0,30.5,-9999.0,31.0,-9999.0,20.0,34.9375,-9999.0,-9999.0,24.285714285714285,24.5,17.0,41.0,32.083333333333336,44.25,45.4,44.45454545454545,38.0,-9999.0,17.333333333333332
175.0,9.0,15.454545454545455,24.714285714285715,15.0,15.166666666666666,16.5,12.0,32.2,36.0,-9999.0,35.0,14.25,15.5,13.0,25.5,13.666666666666666,19.0,53.0,18.6,26.6,40.0,-9999.0,42.0,44.0,34.166666666666664,11.5,-9999.0,-9999.0,-9999.0,-9999.0,25.5,31.0,35.81818181818182,-9999.0,44.0,-9999.0,43.666666666666664,57.0,13.0,42.46666666666667,-9999.0,23.8,18.0,25.727272727272727,25.25,31.2,33.2,25.181818181818183,32.0,31.6,162.0,-9999.0,15.333333333333334
176.0,10.0,15.565217391304348,27.5,-9999.0,19.714285714285715,15.0,27.5,22.5,25.0,39.0,45.666666666666664,14.666666666666666,20.733333333333334,-9999.0,21.5,19.0,18.666666666666668,-9999.0,14.0,28.0,29.0,-9999.0,56.0,44.333333333333336,26.166666666666668,18.5,-9999.0,45.0,-9999.0,28.0,26.0,-9999.0,37.0,-9999.0,-9999.0,-9999.0,48.6,50.0,18.0,38.90909090909091,-9999.0,-9999.0,22.125,27.285714285714285,27.333333333333332,42.0,42.77272727272727,30.333333333333332,24.0,21.75,235.0,-9999.0,13.666666666666666
177.0,5.0,21.47826086956522,17.0,-9999.0,21.666666666666668,31.0,34.0,17.0,20.0,-9999.0,-9999.0,14.833333333333334,17.9375,-9999.0,46.5,24.0,22.333333333333332,-9999.0,35.333333333333336,28.0,42.6,-9999.0,-9999.0,-9999.0,22.8,33.5,-9999.0,32.0,57.0,37.5,28.0,-9999.0,38.5,-9999.0,34.0,-9999.0,41.0,-9999.0,20.0,51.1764705882353,45.75,-9999.0,29.0,75.18181818181819,60.0,58.333333333333336,61.72,40.45454545454545,35.0,43.09090909090909,84.0,-9999.0,18.333333333333332
178.0,7.5,16.136363636363637,19.5,-9999.0,15.0,23.0,23.333333333333332,20.0,27.0,-9999.0,-9999.0,17.8,23.375,11.0,26.333333333333332,28.666666666666668,35.125,48.0,46.125,40.0,27.0,-9999.0,-9999.0,-9999.0,31.142857142857142,23.0,-9999.0,-9999.0,52.666666666666664,45.166666666666664,47.2,35.333333333333336,31.5,-9999.0,24.0,-9999.0,45.0,119.0,27.5,100.35714285714286,54.333333333333336,77.11111111111111,55.2,80.82352941176471,77.42857142857143,88.0909090909091,80.34615384615384,86.10526315789474,51.833333333333336,34.5,-9999.0,57.0,20.333333333333332
179.0,12.5,10.285714285714286,15.833333333333334,-9999.0,29.88888888888889,29.666666666666668,27.75,48.111111111111114,30.0,41.5,-9999.0,12.0,16.866666666666667,-9999.0,21.5,17.333333333333332,26.666666666666668,67.5,50.3,60.5,41.95454545454545,48.0,-9999.0,45.5,35.27272727272727,19.0,66.0,-9999.0,62.833333333333336,72.66666666666667,84.22222222222223,84.0,44.666666666666664,53.0,37.5,-9999.0,49.6,85.0,40.0,119.81481481481481,122.25,127.66666666666667,96.92857142857143,45.45454545454545,55.714285714285715,82.0,79.5,102.42857142857143,101.55555555555556,77.22222222222223,-9999.0,-9999.0,16.0
180.0,14.0,10.590909090909092,14.5,-9999.0,24.9,39.5,36.714285714285715,30.333333333333332,31.0,35.0,60.0,11.0,13.75,-9999.0,43.8,65.25,43.0,67.22222222222223,42.1,47.36363636363637,42.44444444444444,48.0,-9999.0,39.0,39.285714285714285,7.5,70.66666666666667,-9999.0,99.28571428571429,91.75,46.888888888888886,62.0,57.125,43.0,-9999.0,45.0,46.0,-9999.0,17.0,67.60714285714286,91.41666666666667,66.33333333333333,48.8,35.0,35.57142857142857,49.25,60.84615384615385,47.57142857142857,53.888888888888886,83.52941176470588,-9999.0,-9999.0,12.0
181.0,7.0,18.76,10.0,41.0,22.77777777777778,43.25,42.666666666666664,29.375,33.0,-9999.0,-9999.0,16.8,11.4375,28.5,66.25,59.0,61.166666666666664,60.705882352941174,55.38095238095238,45.61538461538461,37.714285714285715,38.5,-9999.0,-9999.0,38.476190476190474,8.0,55.0,53.0,59.833333333333336,52.625,41.54545454545455,41.0,37.714285714285715,43.0,-9999.0,-9999.0,39.666666666666664,-9999.0,38.5,61.629629629629626,57.916666666666664,44.55555555555556,32.46666666666667,51.64705882352941,45.857142857142854,39.0,53.04,38.421052631578945,39.333333333333336,41.666666666666664,-9999.0,-9999.0,17.666666666666668
182.0,23.0,12.772727272727273,12.714285714285714,45.0,37.13333333333333,39.666666666666664,38.25,9.75,27.0,-9999.0,28.0,12.833333333333334,14.3125,53.0,50.142857142857146,55.666666666666664,38.625,49.666666666666664,33.6,42.857142857142854,40.857142857142854,-9999.0,-9999.0,14.0,39.8125,5.0,32.5,-9999.0,62.2,49.833333333333336,28.0,30.0,40.0,-9999.0,34.5,-9999.0,-9999.0,43.5,31.5,74.11111111111111,68.58333333333333,69.33333333333333,31.0,63.36363636363637,59.0,40.666666666666664,50.2962962962963,36.111111111111114,39.6,41.357142857142854,-9999.0,-9999.0,18.5
