Facility Id,FRS Id,Reported City,Reported State,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production 
1010705,110045615205,Spring,TX,HARRIS COUNTY,29.93876,-95.3509,211111,W-ONSH,,,"9,219.96","5,288.45","7,362.80","20,998.57","23,165.10","37,463.68",
1008257,110038071181,The Woodlands,TX,MONTGOMERY COUNTY,30.16115,-95.45389,211111,W-ONSH,,,,,"17,591.00","27,670.78",,,
1010205,110045615205,OKC,OK,,29.93876,-95.3509,211130,W-ONSH,"1,091,358.06","1,292,746.58","1,203,181.13","1,090,397.57","1,343,629.02","1,105,019.77","911,113.38","880,783.17","787,392.39"
1013344,,Tulsa,OK,,30.27112,-96.7783,211120,W-ONSH,"16,436.02","39,316.52",,,,,,,
1002978,110001187705,SAN LUIS OBISPO,CA,SAN LUIS OBISPO COUNTY,35.1814,-120.61965,211120,W-ONSH,"107,776.08","104,868.71","94,419.58",,,,,,
1008795,110055514518,Wexford,PA,HARRISON COUNTY,39.301158,-80.209822,211130,W-ONSH,"32,863.35","33,172.17","171,809.88","20,306.20","31,046.60","19,895.43","63,610.39","49,054.76","53,508.94"
1008356,110044257425,Plano,TX,COLLIN COUNTY,33.03064,-96.70539,211112,W-ONSH,,,,"80,139.66","77,949.20","80,046.41","70,718.85","110,268.79","269,168.07"
1011393,110062541478,Oklahoma City,OK,,35.565478,-97.518049,211120,W-ONSH,"94,874.78","81,782.47","30,085.46","36,873.60","118,540.97",,,,
1011454,110063234815,Oklahoma City,OK,,35.565478,-97.518049,211120,W-ONSH,"342,905.66","177,683.13","90,866.43","36,576.62","64,221.29",,,,
1008483,110055513323,Pittsburgh,PA,ALLEGHENY COUNTY,40.4591,-80.19626,211130,W-ONSH,,0.00,"3,870.84","110,771.44","91,042.30","127,962.02","148,908.60","49,059.94","50,992.50"
1008480,110055513323,Pittsburgh,PA,ALLEGHENY COUNTY,40.4591,-80.19626,211130,W-ONSH,"9,139.76","8,686.73","7,947.71","269,444.44","215,580.76","476,690.94","442,175.37","243,623.80","224,521.09"
1011547,110063744952,Pittsburgh,PA,ALLEGHENY COUNTY,40.4591,-80.19626,211130,W-ONSH,0.00,"17,627.50","16,071.40","28,479.64","35,076.40","49,521.02",,,
1010235,110055513323,PIttsburgh,PA,ALLEGHENY COUNTY,40.4591,-80.19626,211130,W-ONSH,,0.00,"33,503.39","38,320.75","43,688.00","53,787.29","47,639.50","43,628.17",
